OrderNumber,OrderDate,Customer Name Index,Channel,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Total Revenue,Total Unit Cost
SO - 000125,04-01-2013,15,Wholesale,GUT930,31,8,12,268,3216,131.32
SO - 000126,04-01-2013,46,Wholesale,AXW291,20,7,11,174.2,1916.2,95.81
SO - 000127,04-01-2013,32,Distributor,GUT930,42,1,6,2988.2,17929.2,2510.09
SO - 000128,05-01-2013,32,Wholesale,GUT930,43,5,11,3999.9,43998.9,2679.93
SO - 000129,05-01-2013,22,Distributor,AXW291,18,11,10,5976.4,59764,2450.32
SO - 000130,05-01-2013,5,Wholesale,AXW291,19,5,6,2901.1,17406.6,2378.9
SO - 000131,05-01-2013,29,Distributor,NXH382,55,1,7,6076.9,42538.3,2734.61
SO - 000132,05-01-2013,35,Distributor,NXH382,55,5,6,5735.2,34411.2,4186.7
SO - 000133,05-01-2013,46,Export,GUT930,39,8,12,3919.5,47034,2077.34
SO - 000134,05-01-2013,42,Distributor,FLR025,66,13,8,6083.6,48668.8,3832.67
SO - 000135,06-01-2013,2,Wholesale,FLR025,61,13,5,2566.1,12830.5,1642.3
SO - 000136,06-01-2013,28,Wholesale,AXW291,15,5,10,2278,22780,1093.44
SO - 000137,06-01-2013,46,Wholesale,GUT930,46,11,7,261.3,1829.1,120.2
SO - 000138,06-01-2013,22,Wholesale,FLR025,65,7,9,998.3,8984.7,698.81
SO - 000139,06-01-2013,34,Wholesale,AXW291,17,2,6,3497.4,20984.4,1958.54
SO - 000140,06-01-2013,26,Wholesale,GUT930,36,5,9,1132.3,10190.7,486.89
SO - 000141,06-01-2013,26,Wholesale,AXW291,8,11,9,2405.3,21647.7,1587.5
SO - 000142,06-01-2013,24,Distributor,FLR025,66,1,7,5701.7,39911.9,3249.97
SO - 000143,07-01-2013,18,Distributor,GUT930,45,12,9,2452.2,22069.8,1446.8
SO - 000144,07-01-2013,21,Wholesale,AXW291,2,5,7,3095.4,21667.8,2012.01
SO - 000145,07-01-2013,14,Export,GUT930,38,11,9,3865.9,34793.1,2164.9
SO - 000146,08-01-2013,3,Distributor,AXW291,7,2,7,2304.8,16133.6,1382.88
SO - 000147,08-01-2013,13,Distributor,AXW291,7,13,10,3195.9,31959,1470.11
SO - 000148,08-01-2013,49,Wholesale,NXH382,53,2,10,6452.1,64521,5161.68
SO - 000149,08-01-2013,4,Export,AXW291,19,5,6,2003.3,12019.8,921.52
SO - 000150,08-01-2013,20,Wholesale,AXW291,4,5,5,3638.1,18190.5,1455.24
SO - 000151,09-01-2013,19,Export,AXW291,20,5,6,2278,13668,1822.4
SO - 000152,09-01-2013,25,Distributor,AXW291,26,13,12,924.6,11095.2,582.5
SO - 000153,09-01-2013,8,Wholesale,AXW291,20,7,11,3926.2,43188.2,3062.44
SO - 000154,09-01-2013,24,Export,FLR025,63,7,7,3825.7,26779.9,2257.16
SO - 000155,10-01-2013,13,Wholesale,FLR025,65,7,10,2257.9,22579,1377.32
SO - 000156,10-01-2013,32,Wholesale,AXW291,27,6,7,1112.2,7785.4,756.3
SO - 000157,10-01-2013,28,Wholesale,AXW291,19,3,5,3557.7,17788.5,1814.43
SO - 000158,10-01-2013,8,Distributor,AXW291,11,1,7,2371.8,16602.6,1233.34
SO - 000159,11-01-2013,47,Wholesale,AXW291,11,2,12,857.6,10291.2,686.08
SO - 000160,12-01-2013,33,Wholesale,GUT930,43,5,11,3892.7,42819.7,2880.6
SO - 000161,12-01-2013,26,Distributor,AXW291,28,7,8,3477.3,27818.4,1390.92
SO - 000162,12-01-2013,20,Distributor,AXW291,28,7,6,3738.6,22431.6,2803.95
SO - 000163,13-01-2013,6,Wholesale,NXH382,48,7,8,1072,8576,589.6
SO - 000164,13-01-2013,40,Wholesale,AXW291,22,9,12,2257.9,27094.8,1761.16
SO - 000165,13-01-2013,23,Distributor,GUT930,42,7,5,1058.6,5293,751.61
SO - 000166,13-01-2013,38,Wholesale,AXW291,14,9,10,2492.4,24924,1296.05
SO - 000167,13-01-2013,30,Wholesale,AXW291,13,2,6,3852.5,23115,2465.6
SO - 000168,13-01-2013,42,Wholesale,GUT930,39,1,11,241.2,2653.2,132.66
SO - 000169,14-01-2013,1,Distributor,AXW291,6,13,5,1051.9,5259.5,494.39
SO - 000170,14-01-2013,11,Distributor,AXW291,31,5,8,227.8,1822.4,107.07
SO - 000171,14-01-2013,4,Wholesale,FLR025,60,7,9,1078.7,9708.3,506.99
SO - 000172,15-01-2013,6,Wholesale,AXW291,18,7,6,1005,6030,743.7
SO - 000173,15-01-2013,17,Distributor,NXH382,52,7,6,2485.7,14914.2,1317.42
SO - 000174,15-01-2013,7,Distributor,AXW291,26,11,10,2659.9,26599,2154.52
SO - 000175,16-01-2013,1,Wholesale,AXW291,20,7,11,2224.4,24468.4,1579.32
SO - 000176,16-01-2013,27,Wholesale,FLR025,61,11,8,2472.3,19778.4,1260.87
SO - 000177,16-01-2013,33,Wholesale,GUT930,42,7,7,1011.7,7081.9,799.24
SO - 000178,16-01-2013,28,Wholesale,GUT930,42,11,6,234.5,1407,128.98
SO - 000179,16-01-2013,42,Distributor,AXW291,29,7,8,261.3,2090.4,143.72
SO - 000180,17-01-2013,5,Export,AXW291,7,1,5,4006.6,20033,2844.69
SO - 000181,17-01-2013,10,Distributor,GUT930,38,5,6,1333.3,7999.8,866.65
SO - 000182,17-01-2013,34,Wholesale,GUT930,46,11,5,167.5,837.5,90.45
SO - 000183,18-01-2013,23,Export,FLR025,61,13,5,3195.9,15979.5,1821.66
SO - 000184,18-01-2013,18,Wholesale,NXH382,56,3,10,1051.9,10519,809.96
SO - 000185,19-01-2013,8,Export,AXW291,2,5,9,5447.1,49023.9,3540.62
SO - 000186,19-01-2013,36,Wholesale,GUT930,36,2,8,3182.5,25460,1973.15
SO - 000187,19-01-2013,47,Wholesale,FLR025,61,2,5,891.1,4455.5,632.68
SO - 000188,19-01-2013,27,Export,AXW291,29,13,7,3892.7,27248.9,2724.89
SO - 000189,19-01-2013,5,Export,GUT930,45,7,9,3953,35577,3360.05
SO - 000190,19-01-2013,38,Wholesale,GUT930,34,12,9,924.6,8321.4,545.51
SO - 000191,19-01-2013,21,Distributor,GUT930,34,5,10,3430.4,34304,1989.63
SO - 000192,20-01-2013,24,Wholesale,AXW291,31,7,8,1152.4,9219.2,622.3
SO - 000193,20-01-2013,25,Wholesale,AXW291,24,7,5,1085.4,5427,922.59
SO - 000194,20-01-2013,11,Wholesale,AXW291,27,7,5,5031.7,25158.5,4025.36
SO - 000195,21-01-2013,17,Wholesale,AXW291,18,7,8,1092.1,8736.8,436.84
SO - 000196,21-01-2013,5,Export,AXW291,4,7,9,187.6,1688.4,144.45
SO - 000197,21-01-2013,30,Export,AXW291,17,14,9,3993.2,35938.8,2835.17
SO - 000198,21-01-2013,9,Export,FLR025,65,5,11,2472.3,27195.3,1433.93
SO - 000199,21-01-2013,47,Wholesale,AXW291,5,13,11,1206,13266,844.2
SO - 000200,21-01-2013,5,Distributor,AXW291,26,2,11,1728.6,19014.6,985.3
SO - 000201,22-01-2013,23,Wholesale,AXW291,25,1,6,1983.2,11899.2,1447.74
SO - 000202,22-01-2013,14,Wholesale,GUT930,33,7,7,5313.1,37191.7,2656.55
SO - 000203,22-01-2013,44,Export,AXW291,11,9,11,871,9581,566.15
SO - 000204,22-01-2013,38,Wholesale,GUT930,32,7,6,2532.6,15195.6,2051.41
SO - 000205,22-01-2013,14,Wholesale,AXW291,17,13,8,5916.1,47328.8,4673.72
SO - 000206,22-01-2013,34,Wholesale,GUT930,42,2,7,2887.7,20213.9,1443.85
SO - 000207,22-01-2013,13,Wholesale,GUT930,36,5,7,1855.9,12991.3,1447.6
SO - 000208,22-01-2013,5,Distributor,AXW291,11,5,6,207.7,1246.2,135.01
SO - 000209,23-01-2013,2,Wholesale,FLR025,62,5,6,1058.6,6351.6,772.78
SO - 000210,23-01-2013,17,Wholesale,GUT930,44,13,10,958.1,9581,517.37
SO - 000211,23-01-2013,40,Wholesale,GUT930,34,13,9,2659.9,23939.1,1675.74
SO - 000212,23-01-2013,15,Distributor,AXW291,26,2,12,2217.7,26612.4,1707.63
SO - 000213,23-01-2013,12,Wholesale,AXW291,8,13,7,1715.2,12006.4,857.6
SO - 000214,23-01-2013,25,Wholesale,NXH382,52,8,6,3932.9,23597.4,1691.15
SO - 000215,23-01-2013,13,Distributor,AXW291,31,7,5,2546,12730,1909.5
SO - 000216,24-01-2013,18,Distributor,NXH382,50,7,5,837.5,4187.5,603
SO - 000217,24-01-2013,3,Distributor,GUT930,40,11,10,1809,18090,1302.48
SO - 000218,24-01-2013,25,Distributor,NXH382,55,1,5,857.6,4288,514.56
SO - 000219,24-01-2013,11,Export,AXW291,2,9,8,1748.7,13989.6,1101.68
SO - 000220,24-01-2013,44,Distributor,AXW291,14,7,10,1266.3,12663,582.5
SO - 000221,24-01-2013,30,Wholesale,AXW291,5,5,11,5058.5,55643.5,3591.54
SO - 000222,25-01-2013,38,Distributor,AXW291,7,9,10,958.1,9581,795.22
SO - 000223,25-01-2013,47,Export,AXW291,22,9,11,1802.3,19825.3,756.97
SO - 000224,25-01-2013,17,Wholesale,AXW291,9,11,11,6298,69278,4534.56
SO - 000225,25-01-2013,28,Wholesale,AXW291,1,11,6,2499.1,14994.6,1824.34
SO - 000226,25-01-2013,5,Wholesale,GUT930,36,2,8,871,6968,705.51
SO - 000227,25-01-2013,32,Wholesale,GUT930,44,7,6,750.4,4502.4,360.19
SO - 000228,25-01-2013,21,Distributor,GUT930,36,2,5,763.8,3819,504.11
SO - 000229,25-01-2013,49,Export,NXH382,55,2,11,844.2,9286.2,565.61
SO - 000230,26-01-2013,6,Wholesale,AXW291,6,2,5,261.3,1306.5,112.36
SO - 000231,26-01-2013,47,Export,AXW291,13,5,8,3999.9,31999.2,2359.94
SO - 000232,26-01-2013,32,Wholesale,GUT930,45,9,7,1112.2,7785.4,811.91
SO - 000233,26-01-2013,18,Wholesale,AXW291,30,11,8,2633.1,21064.8,1843.17
SO - 000234,26-01-2013,8,Distributor,AXW291,24,10,5,1018.4,5092,631.41
SO - 000235,26-01-2013,24,Distributor,AXW291,10,1,12,5219.3,62631.6,3444.74
SO - 000236,26-01-2013,11,Export,NXH382,47,7,11,3999.9,43998.9,2359.94
SO - 000237,27-01-2013,50,Wholesale,FLR025,62,1,10,1721.9,17219,1084.8
SO - 000238,28-01-2013,7,Wholesale,GUT930,35,5,9,737,6633,456.94
SO - 000239,28-01-2013,2,Wholesale,AXW291,6,9,9,1219.4,10974.6,695.06
SO - 000240,28-01-2013,18,Wholesale,NXH382,51,1,6,891.1,5346.6,712.88
SO - 000241,28-01-2013,28,Wholesale,AXW291,27,2,12,978.2,11738.4,743.43
SO - 000242,28-01-2013,47,Wholesale,AXW291,31,11,9,3946.3,35516.7,1657.45
SO - 000243,28-01-2013,27,Wholesale,GUT930,33,7,12,1299.8,15597.6,922.86
SO - 000244,28-01-2013,21,Distributor,AXW291,14,7,5,5815.6,29078,2791.49
SO - 000245,29-01-2013,43,Distributor,AXW291,22,2,10,1092.1,10921,655.26
SO - 000246,29-01-2013,42,Wholesale,AXW291,7,7,7,1072,7504,643.2
SO - 000247,29-01-2013,34,Wholesale,GUT930,39,9,11,4020,44220,2653.2
SO - 000248,29-01-2013,37,Wholesale,AXW291,12,7,9,984.9,8864.1,669.73
SO - 000249,29-01-2013,50,Wholesale,FLR025,62,10,12,227.8,2733.6,100.23
SO - 000250,29-01-2013,17,Wholesale,AXW291,7,1,11,3993.2,43925.2,3314.36
SO - 000251,30-01-2013,25,Distributor,AXW291,30,1,10,221.1,2211,185.72
SO - 000252,30-01-2013,21,Distributor,AXW291,19,11,9,3356.7,30210.3,2819.63
SO - 000253,30-01-2013,35,Wholesale,NXH382,58,5,6,1701.8,10210.8,1157.22
SO - 000254,30-01-2013,9,Wholesale,NXH382,50,10,5,2566.1,12830.5,2181.19
SO - 000255,31-01-2013,22,Wholesale,AXW291,19,8,12,221.1,2653.2,126.03
SO - 000256,31-01-2013,28,Wholesale,GUT930,45,7,9,1782.2,16039.8,980.21
SO - 000257,31-01-2013,41,Wholesale,AXW291,17,2,10,2003.3,20033,801.32
SO - 000258,31-01-2013,28,Wholesale,AXW291,6,7,11,2385.2,26237.2,1502.68
SO - 000259,01-02-2013,22,Wholesale,AXW291,3,9,11,2231.1,24542.1,1784.88
SO - 000260,01-02-2013,26,Wholesale,AXW291,22,1,7,1005,7035,412.05
SO - 000261,01-02-2013,12,Distributor,NXH382,53,6,12,2693.4,32320.8,1939.25
SO - 000262,01-02-2013,31,Wholesale,AXW291,20,7,8,1105.5,8844,652.25
SO - 000263,02-02-2013,25,Distributor,AXW291,16,12,9,1909.5,17185.5,1088.42
SO - 000264,02-02-2013,35,Distributor,GUT930,32,3,8,1118.9,8951.2,850.36
SO - 000265,03-02-2013,45,Wholesale,AXW291,17,2,10,1038.5,10385,758.11
SO - 000266,03-02-2013,19,Distributor,AXW291,23,5,6,6324.8,37948.8,4300.86
SO - 000267,03-02-2013,16,Wholesale,AXW291,3,13,6,1005,6030,502.5
SO - 000268,03-02-2013,15,Distributor,GUT930,32,2,10,1293.1,12931,659.48
SO - 000269,03-02-2013,8,Wholesale,AXW291,14,7,5,844.2,4221,540.29
SO - 000270,04-02-2013,27,Wholesale,NXH382,58,6,8,247.9,1983.2,195.84
SO - 000271,04-02-2013,12,Wholesale,GUT930,39,1,12,174.2,2090.4,139.36
SO - 000272,04-02-2013,30,Wholesale,NXH382,50,12,9,1025.1,9225.9,707.32
SO - 000273,04-02-2013,19,Export,FLR025,62,1,9,3068.6,27617.4,2301.45
SO - 000274,05-02-2013,44,Distributor,AXW291,22,7,7,241.2,1688.4,115.78
SO - 000275,05-02-2013,24,Distributor,GUT930,36,7,10,174.2,1742,139.36
SO - 000276,05-02-2013,10,Export,AXW291,6,13,7,2505.8,17540.6,1804.18
SO - 000277,05-02-2013,35,Wholesale,GUT930,42,11,11,2599.6,28595.6,1637.75
SO - 000278,05-02-2013,38,Export,AXW291,28,2,12,2278,27336,1503.48
SO - 000279,06-02-2013,31,Wholesale,FLR025,64,13,12,1092.1,13105.2,589.73
SO - 000280,06-02-2013,40,Wholesale,AXW291,8,7,9,1139,10251,933.98
SO - 000281,06-02-2013,9,Export,FLR025,61,7,11,1675,18425,1072
SO - 000282,06-02-2013,41,Export,GUT930,41,11,7,1011.7,7081.9,687.96
SO - 000283,07-02-2013,11,Wholesale,AXW291,23,6,12,938,11256,412.72
SO - 000284,08-02-2013,48,Distributor,AXW291,10,5,10,2566.1,25661,1052.1
SO - 000285,08-02-2013,4,Wholesale,GUT930,32,2,12,871,10452,374.53
SO - 000286,09-02-2013,4,Wholesale,AXW291,15,1,9,2485.7,22371.3,1789.7
SO - 000287,09-02-2013,40,Distributor,FLR025,66,6,9,2345,21105,1922.9
SO - 000288,09-02-2013,19,Distributor,AXW291,9,9,12,1118.9,13426.8,749.66
SO - 000289,10-02-2013,24,Wholesale,AXW291,2,2,7,1996.6,13976.2,1397.62
SO - 000290,10-02-2013,6,Distributor,AXW291,23,2,6,710.2,4261.2,390.61
SO - 000291,10-02-2013,6,Export,GUT930,37,10,6,3979.8,23878.8,1790.91
SO - 000292,10-02-2013,9,Distributor,FLR025,61,11,6,1025.1,6150.6,440.79
SO - 000293,10-02-2013,3,Distributor,GUT930,36,7,8,2519.2,20153.6,1309.98
SO - 000294,10-02-2013,36,Wholesale,AXW291,27,11,8,5031.7,40253.6,3471.87
SO - 000295,10-02-2013,27,Wholesale,NXH382,56,6,10,1829.1,18291,768.22
SO - 000296,11-02-2013,29,Wholesale,NXH382,55,11,11,1072,11792,900.48
SO - 000297,11-02-2013,11,Wholesale,GUT930,45,1,10,2539.3,25393,1828.3
SO - 000298,11-02-2013,24,Distributor,NXH382,48,13,8,3899.4,31195.2,2027.69
SO - 000299,11-02-2013,38,Wholesale,FLR025,66,5,7,5045.1,35315.7,3380.22
SO - 000300,11-02-2013,38,Wholesale,AXW291,23,11,11,1005,11055,522.6
SO - 000301,11-02-2013,20,Wholesale,GUT930,33,2,11,2438.8,26826.8,1219.4
SO - 000302,12-02-2013,46,Distributor,AXW291,28,7,6,3336.6,20019.6,2035.33
SO - 000303,12-02-2013,38,Wholesale,GUT930,46,5,6,1098.8,6592.8,857.06
SO - 000304,12-02-2013,5,Wholesale,AXW291,12,2,11,1902.8,20930.8,970.43
SO - 000305,12-02-2013,32,Wholesale,AXW291,28,1,11,3477.3,38250.3,2190.7
SO - 000306,12-02-2013,36,Distributor,GUT930,36,7,10,2599.6,25996,1481.77
SO - 000307,12-02-2013,1,Wholesale,NXH382,54,10,12,1078.7,12944.4,506.99
SO - 000308,12-02-2013,22,Distributor,GUT930,36,2,11,1045.2,11497.2,533.05
SO - 000309,12-02-2013,21,Export,AXW291,29,7,11,1125.6,12381.6,787.92
SO - 000310,12-02-2013,14,Export,GUT930,34,7,12,1105.5,13266,762.8
SO - 000311,12-02-2013,50,Export,AXW291,16,9,10,2606.3,26063,1668.03
SO - 000312,13-02-2013,41,Wholesale,GUT930,41,5,7,227.8,1594.6,95.68
SO - 000313,13-02-2013,35,Wholesale,GUT930,33,11,8,167.5,1340,123.95
SO - 000314,13-02-2013,21,Wholesale,GUT930,45,1,6,1145.7,6874.2,538.48
SO - 000315,13-02-2013,37,Wholesale,NXH382,59,7,7,2599.6,18197.2,2157.67
SO - 000316,13-02-2013,14,Wholesale,AXW291,25,7,5,3939.6,19698,1969.8
SO - 000317,13-02-2013,18,Distributor,AXW291,20,7,6,2881,17286,1584.55
SO - 000318,13-02-2013,22,Distributor,AXW291,20,5,8,3852.5,30820,2003.3
SO - 000319,13-02-2013,48,Export,AXW291,10,13,7,1139,7973,546.72
SO - 000320,14-02-2013,7,Distributor,GUT930,35,13,8,2519.2,20153.6,2040.55
SO - 000321,14-02-2013,33,Distributor,AXW291,15,2,12,1192.6,14311.2,703.63
SO - 000322,14-02-2013,18,Wholesale,GUT930,39,5,11,2412,26532,1013.04
SO - 000323,14-02-2013,6,Wholesale,AXW291,24,7,9,2479,22311,2057.57
SO - 000324,14-02-2013,10,Wholesale,NXH382,58,1,10,1956.4,19564,1330.35
SO - 000325,15-02-2013,4,Wholesale,GUT930,32,11,9,1078.7,9708.3,722.73
SO - 000326,15-02-2013,22,Wholesale,AXW291,13,2,11,1212.7,13339.7,945.91
SO - 000327,15-02-2013,48,Distributor,GUT930,46,1,7,978.2,6847.4,821.69
SO - 000328,15-02-2013,28,Distributor,NXH382,50,5,10,174.2,1742,120.2
SO - 000329,16-02-2013,25,Wholesale,GUT930,41,7,5,1125.6,5628,630.34
SO - 000330,16-02-2013,49,Distributor,NXH382,52,1,8,1065.3,8522.4,468.73
SO - 000331,16-02-2013,11,Distributor,AXW291,11,7,8,3892.7,31141.6,2724.89
SO - 000332,16-02-2013,19,Wholesale,NXH382,54,5,5,207.7,1038.5,120.47
SO - 000333,16-02-2013,20,Wholesale,AXW291,14,2,8,1185.9,9487.2,948.72
SO - 000334,16-02-2013,15,Export,FLR025,64,13,11,2586.2,28448.2,1629.31
SO - 000335,17-02-2013,26,Wholesale,AXW291,5,1,10,2579.5,25795,1960.42
SO - 000336,17-02-2013,7,Distributor,AXW291,5,7,8,6378.4,51027.2,2806.5
SO - 000337,17-02-2013,26,Wholesale,NXH382,53,13,6,3008.3,18049.8,2226.14
SO - 000338,17-02-2013,49,Wholesale,AXW291,26,5,8,1755.4,14043.2,930.36
SO - 000339,17-02-2013,28,Wholesale,AXW291,31,7,8,1139,9112,740.35
SO - 000340,17-02-2013,46,Distributor,AXW291,8,5,7,6157.3,43101.1,4556.4
SO - 000341,17-02-2013,33,Export,AXW291,8,14,12,2231.1,26773.2,1093.24
SO - 000342,17-02-2013,23,Wholesale,AXW291,12,1,9,2479,22311,1859.25
SO - 000343,17-02-2013,35,Wholesale,AXW291,4,1,11,6391.8,70309.8,4793.85
SO - 000344,17-02-2013,4,Export,NXH382,48,14,8,1139,9112,660.62
SO - 000345,18-02-2013,38,Wholesale,GUT930,36,7,8,2586.2,20689.6,1681.03
SO - 000346,18-02-2013,36,Wholesale,GUT930,38,11,5,3899.4,19497,1871.71
SO - 000347,19-02-2013,25,Distributor,AXW291,15,1,9,951.4,8562.6,599.38
SO - 000348,19-02-2013,8,Distributor,GUT930,31,14,9,5607.9,50471.1,3476.9
SO - 000349,19-02-2013,12,Export,NXH382,50,13,8,1165.8,9326.4,827.72
SO - 000350,19-02-2013,17,Distributor,NXH382,50,1,12,1949.7,23396.4,1520.77
SO - 000351,19-02-2013,40,Distributor,AXW291,27,6,9,3685,33165,2690.05
SO - 000352,20-02-2013,3,Wholesale,FLR025,60,13,8,2633.1,21064.8,1816.84
SO - 000353,20-02-2013,26,Wholesale,NXH382,50,7,6,1072,6432,460.96
SO - 000354,20-02-2013,38,Distributor,AXW291,6,11,10,3537.6,35376,1910.3
SO - 000355,20-02-2013,41,Distributor,GUT930,42,5,11,1092.1,12013.1,622.5
SO - 000356,21-02-2013,17,Wholesale,NXH382,48,2,9,1748.7,15738.3,1136.66
SO - 000357,22-02-2013,49,Wholesale,AXW291,2,2,8,891.1,7128.8,739.61
SO - 000358,22-02-2013,41,Wholesale,AXW291,29,2,5,3082,15410,1510.18
SO - 000359,22-02-2013,34,Wholesale,AXW291,27,5,5,1125.6,5628,776.66
SO - 000360,22-02-2013,46,Wholesale,AXW291,19,13,9,1252.9,11276.1,651.51
SO - 000361,22-02-2013,44,Distributor,FLR025,66,1,11,837.5,9212.5,527.63
SO - 000362,22-02-2013,21,Wholesale,NXH382,53,13,10,1031.8,10318,773.85
SO - 000363,22-02-2013,7,Wholesale,GUT930,46,1,10,2385.2,23852,1454.97
SO - 000364,23-02-2013,48,Distributor,AXW291,28,7,8,1802.3,14418.4,1153.47
SO - 000365,23-02-2013,40,Distributor,NXH382,49,2,5,1018.4,5092,753.62
SO - 000366,23-02-2013,35,Wholesale,AXW291,19,14,10,3946.3,39463,1815.3
SO - 000367,23-02-2013,21,Distributor,AXW291,24,7,6,3953,23718,2095.09
SO - 000368,24-02-2013,1,Wholesale,AXW291,29,7,10,5098.7,50987,3416.13
SO - 000369,24-02-2013,9,Export,FLR025,63,2,11,3758.7,41345.7,1954.52
SO - 000370,24-02-2013,9,Distributor,AXW291,9,2,5,911.2,4556,610.5
SO - 000371,25-02-2013,26,Wholesale,GUT930,43,2,8,904.5,7236,379.89
SO - 000372,25-02-2013,21,Wholesale,AXW291,23,6,10,911.2,9112,410.04
SO - 000373,25-02-2013,6,Wholesale,AXW291,7,7,10,227.8,2278,134.4
SO - 000374,25-02-2013,14,Distributor,AXW291,13,5,5,254.6,1273,117.12
SO - 000375,25-02-2013,33,Wholesale,AXW291,6,2,11,683.4,7517.4,444.21
SO - 000376,25-02-2013,43,Wholesale,AXW291,29,2,7,3919.5,27436.5,2234.12
SO - 000377,25-02-2013,25,Distributor,FLR025,64,2,10,1092.1,10921,786.31
SO - 000378,25-02-2013,10,Wholesale,GUT930,36,11,11,924.6,10170.6,536.27
SO - 000379,25-02-2013,45,Distributor,GUT930,33,7,5,1018.4,5092,794.35
SO - 000380,26-02-2013,19,Distributor,FLR025,65,1,5,1788.9,8944.5,1305.9
SO - 000381,26-02-2013,17,Distributor,AXW291,15,7,11,944.7,10391.7,538.48
SO - 000382,26-02-2013,39,Distributor,AXW291,26,6,6,3959.7,23758.2,2573.81
SO - 000383,27-02-2013,11,Distributor,AXW291,27,9,12,167.5,2010,70.35
SO - 000384,27-02-2013,23,Export,AXW291,19,2,8,3872.6,30980.8,1975.03
SO - 000385,27-02-2013,12,Distributor,GUT930,34,4,5,6539.2,32696,3858.13
SO - 000386,28-02-2013,44,Wholesale,AXW291,10,1,6,1025.1,6150.6,779.08
SO - 000387,28-02-2013,31,Wholesale,GUT930,35,11,5,938,4690,572.18
SO - 000388,28-02-2013,19,Distributor,FLR025,64,9,11,1045.2,11497.2,804.8
SO - 000389,28-02-2013,20,Export,GUT930,37,11,9,167.5,1507.5,112.23
SO - 000390,28-02-2013,44,Distributor,FLR025,61,13,5,1721.9,8609.5,1377.52
SO - 000391,28-02-2013,30,Wholesale,GUT930,44,1,8,676.7,5413.6,466.92
SO - 000392,28-02-2013,47,Wholesale,AXW291,30,1,12,167.5,2010,82.08
SO - 000393,28-02-2013,26,Distributor,GUT930,46,13,10,1118.9,11189,895.12
SO - 000394,28-02-2013,17,Distributor,AXW291,5,13,6,1139,6834,933.98
SO - 000395,28-02-2013,44,Wholesale,NXH382,50,4,5,1748.7,8743.5,751.94
SO - 000396,01-03-2013,13,Distributor,NXH382,47,2,11,1728.6,19014.6,1140.88
SO - 000397,01-03-2013,13,Distributor,GUT930,33,13,5,1112.2,5561,500.49
SO - 000398,01-03-2013,9,Distributor,AXW291,11,2,11,2385.2,26237.2,1454.97
SO - 000399,02-03-2013,18,Export,AXW291,15,2,12,221.1,2653.2,172.46
SO - 000400,02-03-2013,1,Wholesale,AXW291,22,9,6,5708.4,34250.4,2682.95
SO - 000401,02-03-2013,38,Wholesale,NXH382,52,2,7,1038.5,7269.5,830.8
SO - 000402,02-03-2013,43,Distributor,AXW291,4,1,7,3993.2,27952.4,3234.49
SO - 000403,02-03-2013,14,Distributor,GUT930,35,5,12,1085.4,13024.8,792.34
SO - 000404,03-03-2013,36,Wholesale,NXH382,50,2,11,3886,42746,2020.72
